START        
NUMCL            8
NUMFR         2000
BOXSZ           80
NEWFR        
FRAME            0
NVERT           20
CELLP            0             78.04235356874059             44.73580567575702             4.853454095571966              687.900273513351             1.085454304932012
CINFO          vID                         X pos                         Y pos                         X vel                         Y vel                         X frc                         Y frc
VERTP            0             78.41741177267569             61.08517441772861                             0                             0         8.165464101018982e-07        -1.257785657107768e-05
VERTP            1             74.03212527635065             59.03286534725502                             0                             0         -9.61317312422709e-06         7.149945156976253e-06
VERTP            2             71.39684757924033              54.9711213100815                             0                             0        -1.956876414326014e-05         1.603294653328147e-05
VERTP            3             68.06878478987751             51.45435660571933                             0                             0        -1.359052570747837e-05         1.821158519414029e-05
VERTP            4             64.19888697488491             48.54361318573514                             0                             0        -2.160957619006497e-05         3.485180635523326e-05
VERTP            5             62.60457770210815             43.97119424878731                             0                             0         3.474573377057477e-06        -1.509841176047452e-06
VERTP            6             64.40109146776193             39.47347400481992                             0                             0         -3.01049110696533e-05        -9.019597714966798e-06
VERTP            7             64.85508120247565             34.65154805049406                             0                             0        -3.652295979976287e-05         -4.66405000308515e-06
VERTP            8             68.21696433190776             31.16751015245277                             0                             0         2.289784329520539e-06         8.712448754701063e-06
VERTP            9             72.87731888713938             29.85306595095665                             0                             0        -8.534694039056406e-06        -2.467593639026485e-05
VERTP           10             77.63985188292061             28.97462468632797                             0                             0         -7.45005779648894e-06         3.425940728329913e-07
VERTP           11             82.33631894966754             30.16439677977048                             0                             0        -7.105071946657271e-07        -4.626250318143579e-06
VERTP           12             86.17372891520662             33.12356559959471                             0                             0        -1.598048875728342e-07        -7.590399675053497e-06
VERTP           13             87.56089361429686             37.76819793082795                             0                             0         2.642344517717055e-05        -1.524699855616485e-05
VERTP           14             91.30637452090674             40.84462317183635                             0                             0         1.092255915656482e-05         2.013263447314673e-06
VERTP           15             92.58439507213734             45.51793705683855                             0                             0          1.06420179817766e-05         5.683868280755705e-06
VERTP           16             92.14080712361556             50.34129955129315                             0                             0         1.173196279428794e-05         3.011978940667057e-06
VERTP           17             91.18156506415185              55.0888125317836                             0                             0        -9.740001372549045e-06        -2.975530403959148e-06
VERTP           18             87.66336787961072             58.41691735896864                             0                             0        -1.296181352226228e-06         5.760506047640043e-06
VERTP           19               83.190678367876             60.27181557386886                             0                             0         7.923024435154812e-06         1.996721561275407e-05
NVERT           20
CELLP            1              17.1299931525805             26.03184300754376             4.853462673769409             687.9027051628384             1.089292803717345
CINFO          vID                         X pos                         Y pos                         X vel                         Y vel                         X frc                         Y frc
VERTP            0             16.89162409941725             42.89101079610133                            -0                            -0        -6.190264623603947e-07        -3.259815964714446e-07
VERTP            1             12.16536904292632             41.79399936727566                            -0                            -0        -2.449699500851627e-06         9.626619017107096e-07
VERTP            2             9.243027183304903             37.92111306842335                            -0                            -0        -8.552586643586352e-06         5.644792774541288e-06
VERTP            3             6.904862300315061             33.67010345329209                            -0                            -0        -4.208404790565987e-06         4.004767257433095e-06
VERTP            4             3.412013372723672             30.30268073596077                            -0                            -0         -2.89419297227686e-06         3.551578794492444e-06
VERTP            5             2.062234761086414             25.64232149034108                            -0                            -0          8.42391136741949e-08         2.466239492119292e-07
VERTP            6             3.863735060406496             21.13716454453437                            -0                            -0        -2.075703853677852e-06        -6.853472946496877e-07
VERTP            7             6.639123705229212             17.15717342257515                            -0                            -0        -5.786535160062778e-06        -1.763203911523195e-06
VERTP            8             7.853009991071188             12.45917192588941                            -0                            -0        -4.402146663562076e-06        -1.222724261672713e-06
VERTP            9              12.3955660097326             10.75403979484869                            -0                            -0        -5.786723688353643e-06        -3.066871087550535e-05
VERTP           10             17.15288943793676             9.800961606720918                            -0                            -0        -4.877092177921032e-07        -2.106551809221563e-06
VERTP           11             21.88630169507768             10.86656955976861                            -0                            -0         5.249348628777895e-06        -6.503034528079548e-06
VERTP           12             25.47895967304066             14.12759589556208                            -0                            -0         1.084567250266878e-05        -1.270459102055595e-05
VERTP           13             27.74521984462369             18.41802039848423                            -0                            -0         5.395634870421911e-06        -4.655847386741616e-06
VERTP           14             31.55210427552047             21.42647636874429                            -0                            -0         2.488680471762414e-06        -1.597344972886078e-06
VERTP           15             31.77554743128561             26.27295325049781                            -0                            -0         2.901715718209644e-05         1.198964019824122e-05
VERTP           16             29.96262794006145             30.77295845294513                            -0                            -0         1.134406045202874e-05         3.401959569091818e-06
VERTP           17             28.74486149021078             35.46913530720555                            -0                            -0         1.004678171083809e-05         1.439610102554195e-06
VERTP           18             25.79740730814085             39.32314261472651                            -0                            -0         5.408812330425297e-07         1.331720701658323e-06
VERTP           19             21.07337842949892             40.43026809697805                            -0                            -0         1.651689643429252e-06         4.570323318544428e-06
NVERT           20
CELLP            2             27.11857988771266             54.98157976327617             4.853466255032693             687.9037203397444             1.089463207972874
CINFO          vID                         X pos                         Y pos                         X vel                         Y vel                         X frc                         Y frc
VERTP            0             27.14288554409937             70.96433677275212                            -0                            -0        -1.130511356453937e-06         5.033298989404189e-08
VERTP            1             22.70793222618531              68.9989018883862                            -0                            -0        -1.806841304958368e-05         1.364516269194765e-05
VERTP            2             19.66861336057461             65.21826509347707                            -0                            -0        -3.812681925734369e-06         3.645461255953608e-06
VERTP            3             15.88870644814244             62.17811375400394                            -0                            -0        -4.297926032351823e-06         7.222127129696831e-06
VERTP            4             12.12912085129166             59.11238096497388                            -0                            -0          7.22549143704343e-07         2.070584298020841e-06
VERTP            5             11.89625987953338             54.26675772695397                            -0                            -0        -7.650307843679038e-07         5.306777234002913e-07
VERTP            6             12.34024253122196             49.43580173829968                            -0                            -0        -1.102157247514883e-05         4.348995980910098e-07
VERTP            7             13.71017990332431             44.78144637309652                            -0                            -0        -2.827754655172071e-07         1.441210234749343e-06
VERTP            8             18.20723274184676             42.95939059263232                            -0                            -0          -2.4639795224244e-06        -3.124551409728824e-06
VERTP            9             22.24863620512541              40.2739520135147                            -0                            -0         -1.69740818994229e-06        -3.477210593508771e-06
VERTP           10             27.04919381689536             39.56657967741278                            -0                            -0        -1.132320122551773e-06        -2.346665072339019e-06
VERTP           11             30.91696090410122             42.49734937143149                            -0                            -0         8.506063165999479e-09         -4.00733798113645e-06
VERTP           12             34.90003914912916             45.27017035289844                            -0                            -0        -1.164188582298761e-06        -3.308157858816774e-06
VERTP           13             39.46624898547378             46.91600957651055                            -0                            -0        -1.968526108057922e-07        -7.069495908673673e-07
VERTP           14             42.55064098170451             50.66379937240443                            -0                            -0         4.849611531855882e-06        -3.553221304785151e-06
VERTP           15             43.22432215265012             55.47101488651082                            -0                            -0         3.684018769392616e-06         1.936361796597147e-06
