START        
NUMCL            8
NUMFR        10000
BOXSZ           80
NEWFR        
FRAME            0
NVERT           20
CELLP            0             7.529928906107335             24.67289422758929             3.029281818339805             270.4616718564582             1.035008645202657
CINFO          vID                         X pos                         Y pos                         X vel                         Y vel                         X frc                         Y frc
VERTP            0             7.747341076030125             33.87344887053162        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            1             4.922081817324361             33.07909725875373        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            2             1.574435559956872             32.64033328310289        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            3            0.1523197755857071             30.07630366313392        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            4            -1.518521682928295             27.84467938388968        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            5            -1.633125921676736             24.57472518446055        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            6            -1.096065151990615             21.43267318599075        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            7            0.1877962364547287             18.99549962674642        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            8             2.300622720301673             16.76603216127816        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP            9             4.873969856416754             15.57304432029429        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           10             6.914701258764155             15.73209684051812        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           11             10.64897135818998             15.59277855840357        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           12             13.15945774873794             17.11408822386787        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           13             14.83676516889376             19.51257900585127        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           14             16.66505797006169             21.57174192752476        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           15             17.16837343752333             24.19013816931496        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           16             15.91494291200219             27.97144135954964        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           17              14.6125636984919             30.57570987339081        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           18             12.78244433644731             32.57330919567539        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
VERTP           19             10.38444594755988             33.76816445950736        -5.225055057748729e-08         1.242618676205869e-08        -7.798261136092224e-07         1.854576435766354e-07
NVERT           20
CELLP            1             29.79965547618274             27.80153976043178             3.029281818339805             270.4616718564582             1.018969714464313
CINFO          vID                         X pos                         Y pos                         X vel                         Y vel                         X frc                         Y frc
VERTP            0             29.86038806897455             37.17382603562241                             0                             0                             0                             0
VERTP            1             26.97402057587136             36.71158363911017                             0                             0                             0                             0
VERTP            2             24.02051113636596             35.58891314964757                             0                             0                             0                             0
